node_type, access_status, confidence_status, count
"APRA Standard", "missing_access_count", "missing_confidence", 2
"AWS Service", "missing_access_count", "missing_confidence", 4
"ActionPlan", "has_access_count", "missing_confidence", 1
"ActiveProject", "has_access_count", "missing_confidence", 7
"Architectural Pattern", "missing_access_count", "missing_confidence", 1
"AutomationRecipe", "has_access_count", "missing_confidence", 4
"BreakthroughSolution", "has_access_count", "missing_confidence", 1
"Business Framework", "has_access_count", "missing_confidence", 1
"Business Logic", "missing_access_count", "missing_confidence", 4
"Business Process Workflow", "missing_access_count", "missing_confidence", 1
"Business Workflow", "missing_access_count", "missing_confidence", 1
"BusinessContext", "has_access_count", "missing_confidence", 1
"BusinessFramework", "missing_access_count", "missing_confidence", 1
"CompletedExperiment", "has_access_count", "missing_confidence", 4
"CompletedExperiment", "missing_access_count", "missing_confidence", 3
"CompletedMilestone", "has_access_count", "missing_confidence", 4
"CompletedMilestone", "missing_access_count", "missing_confidence", 3
"CompletedProject", "has_access_count", "missing_confidence", 22
"CompletedProject", "missing_access_count", "missing_confidence", 1
"CompletedProjectPhase", "has_access_count", "missing_confidence", 1
"Compliance Document", "missing_access_count", "missing_confidence", 1
"Compliance Requirement", "missing_access_count", "missing_confidence", 1
"ComplianceProcess", "has_access_count", "missing_confidence", 1
"Conditional Workflow", "missing_access_count", "missing_confidence", 1
"Coordination Framework", "has_access_count", "missing_confidence", 1
"CoreMethodology", "has_access_count", "missing_confidence", 4
"Cost Framework", "has_access_count", "missing_confidence", 1
"Critical Safety Principle", "has_access_count", "missing_confidence", 1
"Cross-Cutting Workflow", "missing_access_count", "missing_confidence", 1
"Current Project", "has_access_count", "missing_confidence", 2
"CurrentTask", "has_access_count", "missing_confidence", 2
"Data Models", "has_access_count", "missing_confidence", 2
"Data Models", "missing_access_count", "missing_confidence", 1
"DecisionFramework", "missing_access_count", "missing_confidence", 1
"DefinitiveStandard", "has_access_count", "missing_confidence", 1
"Developer Guide", "has_access_count", "missing_confidence", 1
"End-to-End Workflow", "has_access_count", "missing_confidence", 1
"Enterprise System", "missing_access_count", "missing_confidence", 1
"Experiment", "has_access_count", "missing_confidence", 1
"External Dependencies", "missing_access_count", "missing_confidence", 1
"Fundamental Constraint", "missing_access_count", "missing_confidence", 1
"Implementation Guide", "has_access_count", "missing_confidence", 1
"Implementation Standards", "missing_access_count", "missing_confidence", 1
"Implementation Success", "has_access_count", "missing_confidence", 1
"ImplementationPattern", "has_access_count", "missing_confidence", 4
"ImplementationPattern", "missing_access_count", "missing_confidence", 1
